TIPO,AREA,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,800010 - TERM LAPA/PCA RAMOS," 14,182 "," 35,728 "," 10,606 "," 1,029 ", 66 ," 25,881 "," 4,126 "," 6,147 "," 2,734 "," 100,499 "," 68,198 "," 38,214 ", 528 ," 207,439 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA," 1,182 "," 4,071 "," 1,090 ", 115 , 8 ," 3,181 ", 601 ," 1,482 ", 339 ," 12,069 "," 9,887 "," 4,027 ", 73 ," 26,056 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU," 2,534 "," 8,343 "," 1,637 ", 155 , 9 ," 7,162 ", 701 , 301 , 307 ," 21,149 "," 7,638 "," 6,480 ", 76 ," 35,343 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,853821 - FREGUESIA DO O/PÇA PEDRO CORAZ, 20 , 76 , 11 , -   , -   , 83 , 8 , -   , 2 , 200 , 75 , 122 , -   , 397 
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO," 15,213 "," 43,102 "," 8,002 ", 685 , 45 ," 33,260 "," 4,264 "," 2,728 "," 1,744 "," 109,043 "," 42,333 "," 33,756 ", 456 ," 185,588 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,854221 - BRASILANDIA/TERMINAL LAPA," 1,101 "," 2,696 ", 737 , 23 , -   ," 2,298 ", 380 , 106 , 147 ," 7,488 "," 3,438 "," 3,410 ", 37 ," 14,373 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA," 6,255 "," 19,308 "," 4,546 ", 353 , 7 ," 16,400 "," 1,925 "," 4,640 ", 892 ," 54,326 "," 24,546 "," 19,131 ", 240 ," 98,243 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA," 12,435 "," 33,163 "," 7,297 ", 647 , 12 ," 26,314 "," 3,304 "," 8,349 "," 1,814 "," 93,335 "," 49,161 "," 32,243 ", 496 ," 175,235 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA, 179 , 864 , 156 , 28 , -   ," 1,267 ", 60 , 2 , 28 ," 2,584 ", 659 , 367 , 6 ," 3,616 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO," 1,437 "," 6,213 "," 1,530 ", 93 , 1 ," 4,050 ", 845 , 4 , 298 ," 14,471 "," 8,934 "," 6,328 ", 65 ," 29,798 "
CONCESSAO,AREA 1,2017-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA," 12,961 "," 38,014 "," 8,850 "," 1,098 ", 25 ," 30,531 "," 3,218 "," 3,607 "," 1,955 "," 100,259 "," 46,601 "," 24,326 ", 430 ," 171,616 "
