Tipo,Area,DATA,Empresa,Linha,Soma de Passageiros Pagtes Em Dinheiro,Soma de Passageiros Pagtes Comum,Soma de Passageiros Pgts Bu Comum M,Soma de Passageiros Pagtes Estudante,Soma de Passageiros Pgts Bu Est Mensal,Soma de Passageiros Pagtes Bu Vt,Soma de Passageiros Pgts Bu Vt Mensal,Soma de Passageiros Pagtes Int M/Cptm,Soma de Passageiros Pgts Int M/Cptm M,Soma de Passageiros Int Ônibus->Ônibus,Soma de Passageiros Pagantes,Soma de Passageiros Com Gratuidade,Soma de Passageiros Com Gratuidade Est,Soma de Tot Passageiros Transportados
CONCESSAO,AREA 1,Jan-18,GATO PRETO,800001 - TERM LAPA/PCA RAMOS DE AZEVEDO,8927,26056,4237,731,3,19568,26,4546,14,50449,64108,26157,512,141226
CONCESSAO,AREA 1,Jan-18,GATO PRETO,800010 - TERM LAPA/PCA RAMOS,3285,8483,2393,201,0,5598,848,1320,580,15614,22708,8755,5,47082
CONCESSAO,AREA 1,Jan-18,GATO PRETO,830001 - TERM PIRITUBA/TERM LAPA,850,3214,482,53,0,2299,0,904,0,7444,7802,2979,107,18332
CONCESSAO,AREA 1,Jan-18,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA,248,890,205,21,3,667,111,342,63,2093,2550,805,0,5448
CONCESSAO,AREA 1,Jan-18,GATO PRETO,853810 - VILA IARA/PAISSANDU,2336,8417,901,152,0,7200,137,270,57,7614,19470,5861,85,33030
CONCESSAO,AREA 1,Jan-18,GATO PRETO,853821 - FREGUESIA DO O/PÇA PEDRO CORAZ,2,17,0,0,0,22,2,0,1,24,44,37,0,105
CONCESSAO,AREA 1,Jan-18,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,13656,42057,4815,609,3,33090,765,2788,354,41017,98137,32779,459,172392
CONCESSAO,AREA 1,Jan-18,GATO PRETO,854221 - BRASILANDIA/TERMINAL LAPA,1000,2597,536,34,1,2399,134,138,61,3556,6900,3284,35,13775
CONCESSAO,AREA 1,Jan-18,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,6254,21178,3117,351,1,17805,403,5127,177,27657,54413,20870,318,103258
CONCESSAO,AREA 1,Jan-18,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,12202,34660,4932,695,20,28843,743,8844,432,53429,91371,33769,541,179110
CONCESSAO,AREA 1,Jan-18,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA,103,1020,82,36,1,1230,17,0,8,812,2497,346,6,3661
CONCESSAO,AREA 1,Jan-18,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,1311,6176,948,91,0,4343,178,11,65,9294,13123,6370,76,28863
CONCESSAO,AREA 1,Jan-18,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,12687,40333,5556,1230,1,32721,609,3627,347,50033,97111,25324,354,172822
CONCESSAO,AREA 1,Jan-18,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA,1053,4450,492,140,1,4723,68,153,40,4283,11120,1511,34,16948
CONCESSAO,AREA 1,Jan-18,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,12960,38624,6710,393,2,38223,1494,13187,511,109888,112104,26067,793,248852
CONCESSAO,AREA 1,Jan-18,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,15480,49213,12891,970,11,64063,2046,51980,2958,149821,199612,35099,1299,385831
CONCESSAO,AREA 1,Jan-18,GATO PRETO,N10511 - TERM CACHOEIRINHA/TERM LAPA,818,1415,323,3,0,998,129,111,33,4022,3830,757,19,8628
CONCESSAO,AREA 1,Jan-18,GATO PRETO,N10611 - T PQ D PEDRO /MET BARRA FUNDA,3,15,1,0,0,12,0,2,1,11,34,6,0,51
CONCESSAO,AREA 1,Jan-18,GATO PRETO,N14311 - METRO BARRA FUNDA/MORRO GRANDE,222,516,133,5,0,831,29,156,30,542,1922,260,7,2731
