Tipo,Area,Data,Empresa,Linha,Soma de Passageiros Pagtes Em Dinheiro,Soma de Passageiros Pagtes Comum,Soma de Passageiros Pgts Bu Comum M,Soma de Passageiros Pagtes Estudante,Soma de Passageiros Pgts Bu Est Mensal,Soma de Passageiros Pagtes Bu Vt,Soma de Passageiros Pgts Bu Vt Mensal,Soma de Passageiros Pagtes Int M/Cptm,Soma de Passageiros Pgts Int M/Cptm M,Soma de Passageiros Pagantes,Soma de Passageiros Int Ônibus->Ônibus,Soma de Passageiros Com Gratuidade,Soma de Passageiros Com Gratuidade Est,Soma de Tot Passageiros Transportados
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,800001 - TERM LAPA/PCA RAMOS DE AZEVEDO,10246,31210,4379,1051,2,23565,5,5228,4,75690,58716,36877,434,171717
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,830001 - TERM PIRITUBA/TERM LAPA,1050,3981,420,106,0,2923,0,1191,0,9671,9126,4048,98,22943
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU,2097,7513,613,214,0,7398,0,225,1,18061,7060,5918,60,31099
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,12319,40037,3411,810,3,31383,1,2491,3,90458,38468,33318,407,162651
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854221 - BRASILANDIA/TERMINAL LAPA,970,2466,364,49,1,2262,1,167,0,6280,3521,3393,35,13229
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,5567,20057,2192,441,0,17567,0,5204,0,51028,26135,20943,268,98374
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,10754,33819,3493,876,3,28278,8,9082,4,86317,52544,35785,473,175119
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA,103,892,81,24,1,1409,0,0,0,2510,861,366,3,3740
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,1420,5834,571,138,0,4385,0,9,0,12357,9155,6874,68,28454
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,11200,39422,3962,1495,3,32375,4,4022,0,92483,48036,26289,280,167088
CONCESSAO,AREA 1,2019-01-01,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA,902,4345,353,141,1,4742,0,210,0,10694,4542,1663,27,16926
