TIPO,DATA,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
",PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM,PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE,PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE,PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM,PASSAGEIROS PAGANTES,PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS,PASSAGEIROS COM GRATUIDADE,"TOTAL PASSAGEIROS TRANSPORTADOS
"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,800010 - TERM LAPA/PCA RAMOS,"16,261","40,791","13,974","36,708","7,740","115,474","91,317","20,667","227,458"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA,"1,391","4,563","1,663","4,101","1,536","13,254","13,270","2,274","28,798"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,853810 - VILA IARA/PAISSANDU,"4,099","10,976","3,007","10,322",407,"28,811","11,647","5,434","45,892"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,"27,055","69,870","18,980","60,724","4,977","181,606","75,104","31,071","287,781"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,"10,519","32,268","12,310","29,161","8,850","93,108","45,426","18,946","157,480"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,"12,876","35,286","11,975","34,219","10,361","104,717","61,505","20,830","187,052"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA,238,"1,271",448,"1,277",2,"3,236",558,210,"4,004"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,"2,200","7,097","2,692","5,469",2,"17,460","12,454","4,880","34,794"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,"21,858","60,043","18,075","55,994","5,971","161,941","83,233","21,925","267,099"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA,"1,766","6,696","1,865","7,724",210,"18,261","7,096","1,357","26,714"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,"13,902","41,388","11,714","50,953","13,248","131,205","140,785","13,638","285,628"
CONCESSAO,8/1/2013,AREA 1,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,"17,373","57,652","24,134","91,125","63,347","253,631","217,901","19,206","490,738"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,199D10 - VILA LORIO/PINHEIROS,"27,224","83,972","18,177","62,391","14,022","205,786","132,112","22,155","360,053"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS,"25,123","63,510","22,112","55,712","11,496","177,953","138,861","32,146","348,960"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA,"9,403","15,709","4,415","15,992","5,921","51,440","28,230","5,156","84,826"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA,"8,888","22,025","8,044","16,035","5,963","60,955","35,894","7,120","103,969"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA,"12,701","25,895","7,698","28,640","12,846","87,780","51,355","7,886","147,021"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA,"20,736","40,670","16,446","40,074","8,404","126,330","52,897","13,999","193,226"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA,"8,724","36,864","14,158","32,348","2,757","94,851","60,839","13,524","169,214"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA,"9,182","26,257","18,076","26,937","11,275","91,727","51,156","7,891","150,774"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA,"12,635","37,252","13,168","33,696","10,305","107,056","66,019","12,507","185,582"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA,"4,655","12,527","5,393","10,307","2,442","35,324","18,374","3,673","57,371"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA,"9,734","23,463","14,839","23,363","7,823","79,222","33,355","10,517","123,094"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,801710 - VOITH/TERMPIRITUBA,"3,235","12,729","6,190","11,854","1,865","35,873","22,651","4,350","62,874"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA,"26,691","62,582","26,907","75,947","12,016","204,143","95,067","15,277","314,487"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804310 - VILA NOVA ESPERANÇA/LAPA,"7,096","15,360","7,177","13,226",992,"43,851","15,652","5,461","64,964"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804710 - JARAGUA/LAPA,"27,330","55,108","18,275","64,922","7,436","173,071","82,011","15,344","270,426"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804731 - VILA AURORA/LAPA,983,"2,192",732,"3,294",361,"7,562","3,597",332,"11,491"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804741 - JARAGUA/METRO VILA MADALENA,"8,890","17,667","7,683","19,136","4,435","57,811","17,832","3,168","78,811"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,804751 - RECANTO DOS HUMILDES/LAPA,929,"2,560",739,"3,144",307,"7,679","3,027",368,"11,074"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA,"19,742","34,987","12,941","38,655","9,357","115,682","57,801","9,212","182,695"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805021 - ANHANGUERA/LAPA,446,"3,028","1,420","3,593",6,"8,493",746,124,"9,363"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805031 - PQ MORRO DOCE/LAPA,"9,463","22,411","7,711","26,479","2,325","68,389","27,274","4,384","100,047"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805032 - MORRO DOCE/LAPA,291,514,217,666,173,"1,861","1,957",87,"3,905"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805510 - PERUS/LAPA,"30,877","56,273","18,273","74,155","28,892","208,470","102,879","18,349","329,698"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,805551 - PERUS/BARRA FUNDA,"19,407","38,621","14,242","52,824","16,615","141,709","49,688","11,107","202,504"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,806010 - VILA PIAUI/LAPA,"19,837","33,388","14,716","35,526","7,196","110,663","50,449","9,671","170,783"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,806210 - PQ S DOMINGOS/LAPA,"5,157","8,927","2,858","7,932","1,163","26,037","11,673","4,144","41,854"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,806510 - VILA CLARICE/LAPA,"3,633","7,614","2,912","7,727","2,151","24,037","8,312","4,096","36,445"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,810010 - TERMPIRITUBA/TERM LAPA,"12,319","37,903","19,977","37,185","10,662","118,046","101,142","17,145","236,333"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,820010 - TERM PIRITUBA/TERMPIRITUBA,"7,322","17,476","8,944","14,825","4,821","53,388","44,127","10,761","108,276"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,821310 - JD MARISTELA/PCA DO CORREIO,"10,880","34,362","11,311","39,772","2,186","98,511","35,260","12,441","146,212"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,821321 - JD IRACEMA/PRAÇA DO CORREIO,189,510,181,979,0,"1,859",148,69,"2,076"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,821410 - JD PAULISTANO/PCA DO CORREIO,"9,056","27,916","11,039","28,170","1,142","77,323","38,722","10,376","126,421"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,821510 - JD PAULISTANO/PCA DO CORREIO,"16,145","42,642","15,193","39,326","1,523","114,829","53,500","16,633","184,962"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,830010 - TERM PIRITUBA/TERM LAPA,"7,163","22,547","8,367","19,960","8,455","66,492","63,343","10,627","140,462"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,840010 - TERM PIRITUBA/PCA RAMOS,"40,802","111,932","39,716","105,133","15,283","312,866","262,913","46,052","621,831"
CONCESSAO,8/1/2013,AREA 1,SANTA BRIGIDA,846M10 - JD MARISA/SHOP IBIRAPUERA,"11,723","18,347","6,184","14,622","2,378","53,254","15,278","3,005","71,537"
