AREA,TIPO,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM
","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE
","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM
","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
","PASSAGEIROS PAGANTES
","PASSAGEIROS INTEGRAÇÕES ÔNIBUS 0> ÔNIBUS
","PASSAGEIROS COM GRATUIDADE
",TOTAL PASSAGEIROS TRANSPORTADOS,nome,letreiro
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,800010 - TERM LAPA/PCA RAMOS,15712,36971,194,2476,0,29356,0,7153,2,91864,76378,18966,187208,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA,1689,4604,18,311,0,3741,0,1666,0,12029,11772,2260,26061,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU,4049,10614,31,576,0,9615,0,402,0,25287,9928,5178,40393,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,27329,64806,196,3542,0,53806,0,4493,2,154174,63956,28867,246997,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,10382,28882,104,1772,0,24339,0,7749,0,73228,36001,16426,125655,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,856R10 - LAPA/SOCORRO,0,32,,0,,23,,1,,56,4,0,60,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,13000,32982,79,2053,0,29434,0,9550,0,87098,49904,18333,155335,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA,169,982,14,40,0,1101,0,1,0,2307,460,203,2970,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,2508,7157,18,313,0,5059,0,2,0,15057,10253,4148,29458,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,22187,57768,204,3871,0,51935,0,5628,1,141594,73088,19707,234389,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA,1285,4285,7,302,0,5361,0,186,0,11426,4827,860,17113,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,15672,38591,111,2064,0,43570,0,12925,0,112933,116944,12225,242102,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,15848,46095,249,3314,0,65200,0,56165,0,186871,157679,16094,360644,,
AREA 1,CONCESSAO,2014-01-01,GATO PRETO,EVENTO - E V E N T O,42,92,,4,,71,,16,,225,92,28,345,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,199D10 - VILA LORIO/PINHEIROS,27500,81063,243,3531,0,58114,0,15506,3,185960,116853,20680,323493,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS,24698,58272,287,3844,0,44616,1,10795,1,142514,115684,28963,287161,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA,10273,14731,33,680,0,15442,0,5500,0,46659,24539,4405,75603,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA,9614,21123,52,1307,0,14599,0,6268,0,52963,30984,6646,90593,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA,13294,22563,68,1184,0,23827,0,11357,0,72293,41106,6971,120370,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA,22272,38712,85,2803,0,34557,0,7884,0,106313,43097,12597,162007,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA,9365,37049,86,2003,0,27693,0,3208,0,79404,51444,12806,143654,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA,9930,26002,55,2440,0,23322,0,10479,0,72228,39594,6484,118306,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA,14479,37728,100,2368,0,30488,1,9793,0,94957,59249,12402,166608,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA,4507,10394,26,785,0,7861,0,1879,0,25452,14557,3200,43209,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA,10516,23544,39,2110,0,20399,0,6608,1,63217,28096,9734,101047,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,801710 - VOITH/TERMPIRITUBA,3542,9719,19,770,0,7153,0,2155,0,23358,14772,3396,41526,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA,30648,62533,83,5153,0,67762,0,11905,0,178084,79804,14038,271926,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804310 - VILA NOVA ESPERANÇA/LAPA,6878,14346,30,1176,0,11703,0,967,0,35100,13034,4604,52738,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804710 - JARAGUA/LAPA,29467,50252,79,3197,0,54841,1,6430,0,144267,68216,13382,225865,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804731 - VILA AURORA/LAPA,1054,2129,4,129,0,3207,0,316,0,6839,2983,372,10194,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804741 - JARAGUA/METRO VILA MADALENA,8292,14807,36,1011,0,15460,10,3350,0,42966,13164,2741,58871,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,804751 - RECANTO DOS HUMILDES/LAPA,772,2249,16,123,0,2582,0,246,0,5988,2407,308,8703,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA,20091,31730,77,2138,0,32740,0,8844,0,95620,46186,8414,150220,,
AREA 1,CONCESSAO,2014-01-01,SANTA BRIGIDA,805021 - ANHANGUERA/LAPA,438,3078,5,169,0,3535,0,1,0,7226,600,165,7991,,
