TIPO,AREA,DATA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL
",PASSAGEIROS PAGANTES,"PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

","PASSAGEIROS COM GRATUIDADE

","TOTAL PASSAGEIROS TRANSPORTADOS
",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,800010 - TERM LAPA/PCA RAMOS," 15,655 "," 36,821 "," 2,824 "," 2,019 ", 15 ," 29,232 ", 110 ," 6,920 ", 92 ," 93,688 "," 72,805 "," 23,749 "," 190,242 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA," 1,702 "," 4,523 ", 265 , 281 , 2 ," 3,599 ", 8 ," 1,668 ", 2 ," 12,050 "," 11,404 "," 2,825 "," 26,279 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,853810 - VILA IARA/PAISSANDU," 3,280 "," 9,231 ", 421 , 416 , 4 ," 8,669 ", 66 , 358 , 5 ," 22,450 "," 9,001 "," 5,558 "," 37,009 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO," 23,638 "," 57,435 "," 2,778 "," 2,632 ", 34 ," 46,891 ", 121 ," 3,579 ", 56 ," 137,164 "," 55,674 "," 32,309 "," 225,147 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA," 8,866 "," 26,242 "," 1,276 "," 1,331 ", 12 ," 23,433 ", 53 ," 7,059 ", 40 ," 68,312 "," 33,255 "," 18,957 "," 120,524 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA," 12,788 "," 32,787 "," 1,493 "," 1,642 ", 15 ," 27,774 ", 77 ," 8,567 ", 100 ," 85,243 "," 48,693 "," 21,740 "," 155,676 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,901442 - BNH PORTUGUESA/TERMINAL LAPA, 249 ," 1,043 ", 57 , 40 , -   ," 1,090 ", -   , -   , -   ," 2,479 ", 572 , 299 ," 3,350 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO," 2,020 "," 5,771 ", 362 , 251 , -   ," 4,367 ", 13 , 5 , 9 ," 12,798 "," 9,231 "," 4,567 "," 26,596 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA," 18,674 "," 53,251 "," 3,012 "," 2,836 ", 16 ," 46,730 ", 74 ," 5,091 ", 146 ," 129,830 "," 63,978 "," 21,487 "," 215,295 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,917M31 - MORRO GRANDE/METRO ANA ROSA," 1,026 "," 3,803 ", 165 , 175 , -   ," 4,544 ", 1 , 155 , 8 ," 9,877 "," 3,927 ", 910 ," 14,714 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA," 14,992 "," 38,174 "," 1,944 "," 1,516 ", 66 ," 41,768 ", 120 ," 13,878 ", 50 ," 112,508 "," 109,250 "," 16,954 "," 238,712 ",
CONCESSAO,AREA 1,2015-01-01,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA," 16,790 "," 51,911 "," 4,419 "," 2,747 ", 67 ," 70,815 ", 121 ," 58,677 ", 231 ," 205,778 "," 157,445 "," 23,917 "," 387,140 ",
CONCESSAO,AREA 1,2015-01-01,SANTA BRIGIDA,102610 - VILA IARA/CONEX PETRON PORTELA, 15 , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 15 ,
CONCESSAO,AREA 1,2015-01-01,SANTA BRIGIDA,110111 - TERM LAPA/TERM PQ D PEDRO II, 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 ,
CONCESSAO,AREA 1,2015-01-01,SANTA BRIGIDA,110311 - TERM PIRITUBA/TERM LAPA, 10 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , 10 ,
CONCESSAO,AREA 1,2015-01-01,SANTA BRIGIDA,199D10 - VILA LORIO/PINHEIROS," 22,728 "," 74,593 "," 2,927 "," 2,728 ", 7 ," 53,712 ", 115 ," 15,621 ", 135 ," 172,566 "," 103,877 "," 24,813 "," 301,256 ",
